,udisc_name,pdga_no,cur_rating,cur_udisc_rank,cur_udisc_index,cur_pdga_rank
264,Martin Hendel,39469,1011,,,
265,Lewis Bitney,51242,1011,,,
266,Jacob Cutshall,58026,1011,,,
267,Cole Wehrheim,60399,1011,,,
268,Joonatan Hame,64890,1011,,,
269,Harry Chace,131546,1011,,,
270,Brad Schick,7992,1010,,,
271,Matthew Blakely,15410,1010,,,
272,Lukas Schar,35215,1010,,,
273,John Jones,43834,1010,,,
274,Kevin Konsorr,47163,1010,,,
275,Kevin Konsorr,47163,1010,,,
276,Cody Bradshaw,58007,1010,,,
277,Connor Hanrahan,58857,1010,,,
278,Jacob Sanders,78848,1010,,,
279,Kevin Cruise,15441,1009,,,
280,Derek Billings,28965,1009,,,
281,Cyrus Fuhrman,30655,1009,,,
282,Dallas Albright,31173,1009,,,
283,Nicholas Gill,33838,1009,,,
284,Nicholas Rowton,34180,1009,,,
285,Brad Ramsey,35345,1009,,,
286,Chris Harris,37146,1009,,,
287,Mike Sale,46910,1009,,,
288,Dustin Wells,47022,1009,,,
289,Tony Moe Reiss,47136,1009,,,
290,Cameron Colglazier,47407,1009,,,
291,Collin Bailey,52115,1009,,,
292,A.J. Cruz,56635,1009,,,
293,Tommy Gray,96622,1009,,,
294,Hjalmar Fredriksson,116137,1009,,,
295,Andrew Miranda,118426,1009,,,
296,Bradley Oberholtzer,125544,1009,,,
297,Calvin Lonnquist,145206,1009,,,
298,Bobby Musick,15911,1008,,,
299,Tyler Liebman,24981,1008,,,
300,Karl Johan Nybo,28903,1008,,,
301,Joshua Patin,56037,1008,,,
302,Chris Villa,58197,1008,,,
303,Eemeli Nurminen,72924,1008,,,
304,Payton Staman,136030,1008,,,
305,Brian Schweberger,12989,1007,,,
306,Nolan Grider,13219,1007,,,
307,Justin Bunnell,20827,1007,,,
308,Dana Vicich,26228,1007,,,
309,Louis Tran,45383,1007,,,
310,Joey Lutz,45887,1007,,,
311,Calvin Caldwell,50024,1007,,,
312,Jacob Courtis,56511,1007,,,
313,Joe O'Brien,64002,1007,,,
314,Sam Lee,78519,1007,,,
315,Yutaro Sakai,80387,1007,,,
316,Ryan Sheldon,87836,1007,,,
317,Steve Rico,4666,1006,,,
318,Steve Brinster,10628,1006,,,
319,Chris Eads,34491,1006,,,
320,Jeff Spohr,42223,1006,,,
321,Kyle Moriarty,50920,1006,,,
322,Andrew Martin,54302,1006,,,
323,Chris Ozolins,55049,1006,,,
324,Edward Ward,62387,1006,,,
325,Martin J. Kneece,66907,1006,,,
326,Michael Mayo,76574,1006,,,
327,Dennis Augustsson,98130,1006,,,
328,Levi Stout,118179,1006,,,
329,Jack Kingsley,135523,1006,,,
330,Blake Whitehead,145870,1006,,,
331,Shane Seal,13928,1005,,,
332,David Wiggins Jr,24437,1005,,,
333,Patrick Brown,25713,1005,,,
334,James Cole,29690,1005,,,
335,Emile Barbe,57366,1005,,,
336,Will Ling,59438,1005,,,
337,David Diehl,77771,1005,,,
338,Tanner McCartney,97556,1005,,,
339,Blake Poland,100708,1005,,,
340,Leevi Isotalo,116000,1005,,,
341,Axel Olson,120743,1005,,,
342,E. Lucas Pierce,123319,1005,,,
343,Hannes Kurn,130745,1005,,,
344,Ben Ditton,132592,1005,,,
345,Brody Miller,5222,1004,,,
346,Yasushi Jitsuhiro,8060,1004,,,
347,John Nisewonder,10353,1004,,,
348,Tyler Horne,16058,1004,,,
349,Mike Lassuy,25645,1004,,,
350,David Eilers,29083,1004,,,
351,Robert Pina,36205,1004,,,
352,Nate Metzler,41220,1004,,,
353,Eduardo Fischer,51471,1004,,,
354,Abrahan Bahena,53558,1004,,,
355,Finlay Buchanan-Jacobs,55953,1004,,,
356,Timothy T3J Johnson Jr,59661,1004,,,
357,Cooper Legee,61055,1004,,,
358,Bonner Butler,61104,1004,,,
359,Raimo Sokka,63343,1004,,,
360,Peter Lunde,72576,1004,,,
361,John Collins,73375,1004,,,
362,Stewart McIsack,73512,1004,,,
363,Davis York,90615,1004,,,
364,Jacob Chesser,96063,1004,,,
365,Steven Futrell,127351,1004,,,
366,Jacky Chen,128836,1004,,,
367,Aoi Yoshida,241396,1004,,,
368,Anders Sward,5310,1003,,,
369,Shawn Sinclair,10819,1003,,,
370,John Anderson,19996,1003,,,
371,Joseph Kozlowski,26095,1003,,,
372,Brian Miller,28132,1003,,,
373,Dutch Napier,31473,1003,,,
374,Zachery Jansen,39386,1003,,,
375,Kyle Williams,40128,1003,,,
376,Nickolas Culver,43902,1003,,,
377,Isaac Heinen,44919,1003,,,
378,Dawson Snelling,45739,1003,,,
379,Bo Tillman,46480,1003,,,
380,Travis Head,47837,1003,,,
381,Justin Anderson,55776,1003,,,
382,Dan Schlitter,80219,1003,,,
383,Petr Striegler,89634,1003,,,
384,Mikael Wahlfors,93488,1003,,,
385,Jeremy Marsh,96837,1003,,,
386,Daniel Pfaff,98558,1003,,,
387,Rayce Compton,99681,1003,,,
388,Terran Ferguson,111010,1003,,,
389,Finn Sullivan,112060,1003,,,
390,Seth Dey,112404,1003,,,
391,Sam DiCarlo,115742,1003,,,
392,Ilkin Groh,145831,1003,,,
393,Guthrie Collins,147951,1003,,,
394,Maxime Tanghe,8399,1002,,,
395,Shasta Criss,28597,1002,,,
396,Dylan Braseel,46245,1002,,,
397,Garry Patton,49643,1002,,,
398,Matthew Barajas,71050,1002,,,
399,Bo McLaughlin,87143,1002,,,
400,Trevor Snyder,102057,1002,,,
401,Austen Bates,130724,1002,,,
402,Justus Sarvi,165010,1002,,,
403,Shinichi Yoshitsuru,166436,1002,,,
404,Carlton Howard,2300,1001,,,
405,Dai Takakura,8207,1001,,,
406,Jalle Stoor,8992,1001,,,
407,Kris Orrick,20020,1001,,,
408,Ryan Stephenson,41385,1001,,,
409,Mike Laitala,43081,1001,,,
410,Michael Hoffman,46997,1001,,,
411,Elliot Zettas,51078,1001,,,
412,Nick Gross,53107,1001,,,
413,Donavon Ferguson,55657,1001,,,
414,Thunder Schultz,56016,1001,,,
415,Anthony Anselmo,56579,1001,,,
416,Zane Letts,57544,1001,,,
417,Kyle Giovannini,60367,1001,,,
418,Josh Coghill,63364,1001,,,
419,Brenden Tetloff,64742,1001,,,
420,Randy Noble,72231,1001,,,
421,Hakon Kveseth,74569,1001,,,
422,Michael Jordt,77562,1001,,,
423,Petter Alfsen,80452,1001,,,
424,Josh DiBattista,86089,1001,,,
425,Kesler Martin,88497,1001,,,
426,Gustav Dahlen,102051,1001,,,
427,Joe Notch,106915,1001,,,
428,T Taylor,121260,1001,,,
429,Aaron Hieb,123869,1001,,,
430,Gillis MacDougall,124607,1001,,,
431,Eemi Pantsari,133345,1001,,,
432,Ben Wolff,144530,1001,,,
433,Kevin Babbit,11110,1000,,,
434,Eric McCabe,11674,1000,,,
435,Nicholas Duran,28359,1000,,,
436,Robert Nichols,34319,1000,,,
437,Chad Sherbert,61977,1000,,,
438,Jeremy Novak,68696,1000,,,
439,Jamie Kiep,68815,1000,,,
440,Phill Dilone,70955,1000,,,
441,Jamie Espinoza,75139,1000,,,
442,Florian Lingenhel,77589,1000,,,
443,Mike Truman,79864,1000,,,
444,Leon Sonnleitner,81120,1000,,,
445,Kyle Opfer,87871,1000,,,
446,Andrew Brown,89148,1000,,,
447,Benjamin Fulford,114761,1000,,,
448,Kirby Snyder,115165,1000,,,
449,James Burgess,130858,1000,,,
450,Zachary Crist,132070,1000,,,
451,Sean Butler,22076,999,,,
452,Robert R. Bainbridge,22110,999,,,
